item_id,strat_category,agreement_bin,swap_direction,name_swapped,gendered_swapped,invariance_class,needs_review,justification,text,swapped
400173,ideological_inequality,low,F2M,False,True,SHIFTING,True,sexist + woman-focused gendered token swapped; construct likely shifts (author adjudication),"Amazing that the GOP is trying to take away our ability to dispose of a bundle of cells that are unplanned, a result of a traumatic experience or dangerous for a woman to carry but as soon as those cells are an actual child, gun rights are more important than the child's life.","Amazing that the GOP is trying to take away our ability to dispose of a bundle of cells that are unplanned, a result of a traumatic experience or dangerous for a man to carry but as soon as those cells are an actual child, gun rights are more important than the child's life."
200458,ideological_inequality,low,F2M,False,True,SHIFTING,True,sexist + woman-focused gendered token swapped; construct likely shifts (author adjudication),"@JasperLufkin @HaydenGr3y Traditional feminists don't tolerate this shit, only third wave nu-feminists do. Don't blame all women for this mockery. It's only the pick-mes who want to virtue signal, and not legitimate first wave feminists","@JasperLufkin @HaydenGr3y Traditional feminists don't tolerate this shit, only third wave nu-feminists do. Don't blame all men for this mockery. It's only the pick-mes who want to virtue signal, and not legitimate first wave feminists"
202603,ideological_inequality,low,F2M,False,True,SHIFTING,True,sexist + woman-focused gendered token swapped; construct likely shifts (author adjudication),@shirleneobuobi Many women in Cardiology are discussing this superwoman syndrome…. have you see this by @DrRachelMBond ⬇️ https://t.co/fBoXQoy8II,@shirleneobuobi Many men in Cardiology are discussing this superwoman syndrome…. have you see this by @DrRachelMBond ⬇️ https://t.co/fBoXQoy8II
200593,ideological_inequality,high,M2F,False,True,INVARIANT,False,majority not-sexist; label stays not-sexist under swap,51% offUse code DDD06JAN.Reusable Cloth Face Mask With 3-ply Adjustable Ear Loops &amp; Nose Wire Breathable for Adult Men and Wo.https://t.co/jm3HmB4PZj#amazon #deals #discount #offer https://t.co/ld2clOi4Vd,51% offUse code DDD06JAN.Reusable Cloth Face Mask With 3-ply Adjustable Ear Loops &amp; Nose Wire Breathable for Adult Women and Wo.https://t.co/jm3HmB4PZj#amazon #deals #discount #offer https://t.co/ld2clOi4Vd
203153,ideological_inequality,mixed,M2F,False,True,SHIFTING,True,sexist + woman-focused gendered token swapped; construct likely shifts (author adjudication),"As we celebrate #MLK don’t forget that we wouldn’t know who he is if it wasn’t for the phenomenal organizer #EllaBaker! In addition to all the other civil rights men, who’ve been historically centered, while Queer, Transgender &amp; Cis Black Womyn arent!https://t.co/P9FEaAlLe6 https://t.co/EBraegYcry https://t.co/ePZPlEiNYa","As we celebrate #MLK don’t forget that we wouldn’t know who she is if it wasn’t for the phenomenal organizer #EllaBaker! In addition to all the other civil rights women, who’ve been historically centered, while Queer, Transgender &amp; Cis Black Womyn arent!https://t.co/P9FEaAlLe6 https://t.co/EBraegYcry https://t.co/ePZPlEiNYa"
200503,ideological_inequality,high,MIXED,False,True,SHIFTING,True,sexist + woman-focused gendered token swapped; construct likely shifts (author adjudication),"@ZStekkel I hate to say this and a SJW call me sexist but, women think every single thing within their sex is a competition. Almost as if they get more jealous of success than men. I'm mostly intrigued why this is something I've noticed over my 33 years alive. (I also have a sister haha)","@ZStekkel I hate to say this and a SJW call me sexist but, men think every single thing within their sex is a competition. Almost as if they get more jealous of success than women. I'm mostly intrigued why this is something I've noticed over my 33 years alive. (I also have a brother haha)"
203113,ideological_inequality,high,F2M,False,True,SHIFTING,True,sexist + woman-focused gendered token swapped; construct likely shifts (author adjudication),“The hypocrisy is not lost on any of us that a bunch of people running around shouting about bodily freedom when it comes to vaccination—are the same ones who think women shouldn’t be able to decide whether or not they wish to be pregnant.” @abbygardner https://t.co/CwhFYNyC14,“The hypocrisy is not lost on any of us that a bunch of people running around shouting about bodily freedom when it comes to vaccination—are the same ones who think men shouldn’t be able to decide whether or not they wish to be pregnant.” @abbygardner https://t.co/CwhFYNyC14
400457,ideological_inequality,high,F2M,False,True,SHIFTING,True,sexist + woman-focused gendered token swapped; construct likely shifts (author adjudication),@lykachu_ God the comments on this post are all so idiotic I hate Twitter i hate you all“I women don’t know how condoms work neither do you” you act like you’ve never bought the wrong sized pad or tampon“THEYRE TELLING US WHAT TO DO WITG OUR BODIES” no she doesn’t want a baby or STDs,@lykachu_ God the comments on this post are all so idiotic I hate Twitter i hate you all“I men don’t know how condoms work neither do you” you act like you’ve never bought the wrong sized pad or tampon“THEYRE TELLING US WHAT TO DO WITG OUR BODIES” no he doesn’t want a baby or STDs
200644,ideological_inequality,high,M2F,False,True,INVARIANT,False,majority not-sexist; label stays not-sexist under swap,"@NutDivide A year of cock tease over how full it is. Well played, sir, well played. I do wonder though, at this rate, if Biden does 4 years, are you gonna need a bigger jar..?","@NutDivide A year of cock tease over how full it is. Well played, madam, well played. I do wonder though, at this rate, if Biden does 4 years, are you gonna need a bigger jar..?"
201277,ideological_inequality,mixed,F2M,False,True,INVARIANT,False,majority not-sexist; label stays not-sexist under swap,@TortieCats I understand the issues you are raising. I just hold much more acceptance for trans folks than you do. I love the trans women in my feminist community. As a 41 yr old i recognise that language around gender identity is being worked out by ppl much younger than me &amp; I'm happy to..,@TortieCats I understand the issues you are raising. I just hold much more acceptance for trans folks than you do. I love the trans men in my feminist community. As a 41 yr old i recognise that language around gender identity is being worked out by ppl much younger than me &amp; I'm happy to..
200050,ideological_inequality,low,F2M,False,True,SHIFTING,True,sexist + woman-focused gendered token swapped; construct likely shifts (author adjudication),@yo_its_simba Here's the link to the full commenthttps://t.co/jyK30AdYqaShe was a trans girl and was harassed a ton for that edited screenshot to the point of deleting the post entirelyI'd suggest deleting this,@yo_its_simba Here's the link to the full commenthttps://t.co/jyK30AdYqaShe was a trans boy and was harassed a ton for that edited screenshot to the point of deleting the post entirelyI'd suggest deleting this
201620,ideological_inequality,mixed,F2M,False,True,SHIFTING,True,sexist + woman-focused gendered token swapped; construct likely shifts (author adjudication),@_tiffiny_m Him and my mom is the same age is she’s living her best life 🤣🤣🤣🤣🤣🤣. Clearly the ladies don’t want him to go,@_tiffiny_m Him and my dad is the same age is he’s living his best life 🤣🤣🤣🤣🤣🤣. Clearly the gentlemen don’t want him to go
202997,ideological_inequality,high,F2M,False,True,SHIFTING,True,sexist + woman-focused gendered token swapped; construct likely shifts (author adjudication),@DcCrasherLGBTQ but why do you think trans women are targeted though. with transphobia enacted on transfems its bc the oppressors see a desire for femininity as wrong and predatory so its on the basis of womanhood and transness. while transmascs are targeted bc of their transness only,@DcCrasherLGBTQ but why do you think trans men are targeted though. with transphobia enacted on transfems its bc the oppressors see a desire for femininity as wrong and predatory so its on the basis of womanhood and transness. while transmascs are targeted bc of their transness only
200485,ideological_inequality,high,MIXED,False,True,SHIFTING,True,sexist + woman-focused gendered token swapped; construct likely shifts (author adjudication),@TheTodayShow Did Jenny feel sick when her husband bullied Christine Holgate out of her job?When Australians were issued fraudulent debt notices #robodebt and many committed suicide? When a young family from #HomeToBilo we’re dragged from their beds in the early hours of the morning?,@TheTodayShow Did Jenny feel sick when his wife bullied Christine Holgate out of his job?When Australians were issued fraudulent debt notices #robodebt and many committed suicide? When a young family from #HomeToBilo we’re dragged from their beds in the early hours of the morning?
201611,ideological_inequality,low,F2M,False,True,SHIFTING,True,sexist + woman-focused gendered token swapped; construct likely shifts (author adjudication),"@Mbahdeyforyou Crazy shit is, the ladies don't even mind 🤕.They will soon have a means of identification for this source of income and they will wear it with pride.","@Mbahdeyforyou Crazy shit is, the gentlemen don't even mind 🤕.They will soon have a means of identification for this source of income and they will wear it with pride."
400398,ideological_inequality,mixed,M2F,False,True,INVARIANT,False,majority not-sexist; label stays not-sexist under swap,How do we end the boys' club vibe of politics? Join us for this event with @5050Parliament to discuss and plan https://t.co/dZGxv2Rpf0,How do we end the girls' club vibe of politics? Join us for this event with @5050Parliament to discuss and plan https://t.co/dZGxv2Rpf0
400127,ideological_inequality,mixed,F2M,False,True,INVARIANT,False,majority not-sexist; label stays not-sexist under swap,"@TheRightCant I mean the witcher netflix is ass, and not because sjw oe whatever (the witcher books are already anti war, pro choice, women empowerment, etc.) But the arc of yennefer is boring as shit and nilfgardian Armour looks like scrotum.","@TheRightCant I mean the witcher netflix is ass, and not because sjw oe whatever (the witcher books are already anti war, pro choice, men empowerment, etc.) But the arc of yennefer is boring as shit and nilfgardian Armour looks like scrotum."
200751,ideological_inequality,high,F2M,False,True,INVARIANT,False,majority not-sexist; label stays not-sexist under swap,"god im so fucking annoyed??? like dear cishet woman who are so scared of trans people ""taking away their rights"" why? if someone is transitioning to be who they are and it doesn't hurt you or anyone else i don't see how it makes a difference. feminism isn't going to be destroyed.","god im so fucking annoyed??? like dear cishet man who are so scared of trans people ""taking away their rights"" why? if someone is transitioning to be who they are and it doesn't hurt you or anyone else i don't see how it makes a difference. feminism isn't going to be destroyed."
