,count
Mexico,8925
Portugal,7606
Spain,6957
United Kingdom,4628
Poland,3293
South Africa,3260
Chile,2430
Italy,1884
United States,1493
Greece,1002
Canada,615
Hungary,513
Venezuela,435
Netherlands,342
Slovenia,342
Estonia,342
Australia,342
Ireland,285
Argentina,285
Peru,228
Latvia,228
Israel,204
New Zealand,171
Belgium,171
Finland,114
Algeria,114
Brazil,114
Colombia,114
Serbia,114
Germany,114
Afghanistan,114
Romania,57
Puerto Rico,57
Cuba,57
Dominican Republic,57
Cyprus,57
Guatemala,57
Panama,57
"Macedonia, The Former Yugoslav Republic of",57
Czech Republic,57
Viet Nam,57
El Salvador,57
Sweden,57
Nepal,57
Zimbabwe,57
Norway,57
France,57
Russian Federation,57
