item_id,strat_category,agreement_bin,gold_1_1,gold_1_3,original,swapped,name_swapped,gendered_swapped,female_source,male_source,unswappable,author_review,review_reasons,n_swapped_tokens,rule_class,rule_reason,needs_adjudication,invariance_class,justification
202882,ideological_inequality,high,"{""not_sexist"": 0.8333333333333334, ""sexist"": 0.16666666666666666}","{""ideological_inequality"": 0.16666666666666666, ""stereotyping_dominance"": 0.0, ""objectification"": 0.0, ""sexual_violence"": 0.0, ""misogyny_non_sexual_violence"": 0.0}",Please support Texas trans and non-binary youth by sending a clear message to @TexasDFPS at the link. Nothing Paxton or Abbott said is legally binding but it does fuel hatred and bigotry towards an already vulnerable group. https://t.co/wn8BbN1N25 https://t.co/rejidtMW6h,Please support Texas trans and non-binary youth by sending a clear message to @TexasDFPS at the link. Nothing Paxton or Abbott said is legally binding but it does fuel hatred and bigotry towards an already vulnerable group. https://t.co/wn8BbN1N25 https://t.co/rejidtMW6h,False,False,False,False,True,False,,0,UNSWAPPABLE,no swappable gendered token (excluded from partition),False,,
202908,ideological_inequality,high,"{""not_sexist"": 0.16666666666666663, ""sexist"": 0.8333333333333334}","{""ideological_inequality"": 0.3333333333333333, ""stereotyping_dominance"": 0.3333333333333333, ""objectification"": 0.16666666666666666, ""sexual_violence"": 0.0, ""misogyny_non_sexual_violence"": 0.16666666666666666}","Oh how i dream of being a house husband. Home body, never go out and be a whore, and will always have dinner ready for my lady when she gets home after a long day of providing 😌 https://t.co/SeN6AzZiuy","Oh how i dream of being a house wife. Home body, never go out and be a whore, and will always have dinner ready for my gentleman when he gets home after a long day of providing 😌 https://t.co/SeN6AzZiuy",False,True,True,True,False,False,,3,SHIFTING,sexist + woman-focused gendered token swapped; construct likely shifts (author adjudication),True,,
400228,ideological_inequality,high,"{""not_sexist"": 0.0, ""sexist"": 1.0}","{""ideological_inequality"": 0.5, ""stereotyping_dominance"": 0.5, ""objectification"": 0.3333333333333333, ""sexual_violence"": 0.16666666666666666, ""misogyny_non_sexual_violence"": 0.5}",I'll share some stuff when I archive but Anti-fujo comment threads are 100%:+i'm _ is it ok for me to make mlm?-yes!-no!-you can as long as NO sex!+misogyny is a lie+i hate women they ruin everything+i'm a trans man &amp; cant believe i used to think i was a dirty gross fujo🤮,I'll share some stuff when I archive but Anti-fujo comment threads are 100%:+i'm _ is it ok for me to make mlm?-yes!-no!-you can as long as NO sex!+misogyny is a lie+i hate men they ruin everything+i'm a trans woman &amp; cant believe i used to think i was a dirty gross fujo🤮,False,True,True,True,False,False,,2,SHIFTING,sexist + woman-focused gendered token swapped; construct likely shifts (author adjudication),True,,
200446,ideological_inequality,high,"{""not_sexist"": 0.16666666666666663, ""sexist"": 0.8333333333333334}","{""ideological_inequality"": 0.6666666666666666, ""stereotyping_dominance"": 0.3333333333333333, ""objectification"": 0.0, ""sexual_violence"": 0.0, ""misogyny_non_sexual_violence"": 0.16666666666666666}","men who blame all women for their relationship troubles is like someone eating cheese and getting sick, and deciding to blame ALL cheese for being defective instead of maaaybe considering they might be lactose intolerant.in conclusion, if it's ""everyone else"", it's probably you","women who blame all men for their relationship troubles is like someone eating cheese and getting sick, and deciding to blame ALL cheese for being defective instead of maaaybe considering they might be lactose intolerant.in conclusion, if it's ""everyone else"", it's probably you",False,True,True,True,False,False,,2,SHIFTING,sexist + woman-focused gendered token swapped; construct likely shifts (author adjudication),True,,
201099,ideological_inequality,high,"{""not_sexist"": 0.0, ""sexist"": 1.0}","{""ideological_inequality"": 0.8333333333333334, ""stereotyping_dominance"": 0.0, ""objectification"": 0.0, ""sexual_violence"": 0.0, ""misogyny_non_sexual_violence"": 0.3333333333333333}",Remember when and why the misogynists in positions of authority changed Women's studies to gender studies at universities all over the country?Remember what Feminists said would happen?I do. https://t.co/TySzlrbiBT,Remember when and why the misogynists in positions of authority changed Men's studies to gender studies at universities all over the country?Remember what Feminists said would happen?I do. https://t.co/TySzlrbiBT,False,True,True,False,False,False,,1,SHIFTING,sexist + woman-focused gendered token swapped; construct likely shifts (author adjudication),True,,
200242,ideological_inequality,high,"{""not_sexist"": 0.8333333333333334, ""sexist"": 0.16666666666666666}","{""ideological_inequality"": 0.16666666666666666, ""stereotyping_dominance"": 0.16666666666666666, ""objectification"": 0.0, ""sexual_violence"": 0.0, ""misogyny_non_sexual_violence"": 0.0}","@AccusedToo They’ve managed to substitute something that they said was bad, androcentrism, for something that is arguably worse, if only for the fact that it was done deliberately in as short a space of time as possible. Some would say only idiots do things like that.","@AccusedToo They’ve managed to substitute something that they said was bad, androcentrism, for something that is arguably worse, if only for the fact that it was done deliberately in as short a space of time as possible. Some would say only idiots do things like that.",False,False,False,False,True,False,,0,UNSWAPPABLE,no swappable gendered token (excluded from partition),False,,
200639,ideological_inequality,high,"{""not_sexist"": 0.0, ""sexist"": 1.0}","{""ideological_inequality"": 0.6666666666666666, ""stereotyping_dominance"": 0.3333333333333333, ""objectification"": 0.3333333333333333, ""sexual_violence"": 0.0, ""misogyny_non_sexual_violence"": 0.5}","@Adele I am at a loss about what today's women want out of life. In years to come, when you've done riding the cock carousel, no doubt you will regale us with interminable songs about your regrets. Why not save us the boredom of it all and just make the right choices from the 'get go'?","@Adele I am at a loss about what today's men want out of life. In years to come, when you've done riding the cock carousel, no doubt you will regale us with interminable songs about your regrets. Why not save us the boredom of it all and just make the right choices from the 'get go'?",False,True,True,False,False,False,,1,SHIFTING,sexist + woman-focused gendered token swapped; construct likely shifts (author adjudication),True,,
200731,ideological_inequality,high,"{""not_sexist"": 0.8333333333333334, ""sexist"": 0.16666666666666666}","{""ideological_inequality"": 0.16666666666666666, ""stereotyping_dominance"": 0.0, ""objectification"": 0.16666666666666666, ""sexual_violence"": 0.0, ""misogyny_non_sexual_violence"": 0.16666666666666666}",He gets memberships AND a kiss???? DESERVE https://t.co/PkEGmht4RA,She gets memberships AND a kiss???? DESERVE https://t.co/PkEGmht4RA,False,True,False,True,False,False,,1,INVARIANT,majority not-sexist; label stays not-sexist under swap,False,,
202141,ideological_inequality,high,"{""not_sexist"": 0.8333333333333334, ""sexist"": 0.16666666666666666}","{""ideological_inequality"": 0.16666666666666666, ""stereotyping_dominance"": 0.0, ""objectification"": 0.16666666666666666, ""sexual_violence"": 0.0, ""misogyny_non_sexual_violence"": 0.0}",Ain’t no way 😂😂😭 if I’m pregnant call me Mary 💀 Bc ain’t no way 😂 https://t.co/1Aqm9YUtOQ,Ain’t no way 😂😂😭 if I’m pregnant call me John 💀 Bc ain’t no way 😂 https://t.co/1Aqm9YUtOQ,True,False,True,False,False,False,,1,INVARIANT,majority not-sexist; label stays not-sexist under swap,False,,
400476,ideological_inequality,high,"{""not_sexist"": 0.8333333333333334, ""sexist"": 0.16666666666666666}","{""ideological_inequality"": 0.16666666666666666, ""stereotyping_dominance"": 0.0, ""objectification"": 0.0, ""sexual_violence"": 0.0, ""misogyny_non_sexual_violence"": 0.16666666666666666}","@ScubaMySteve If you ask Cenk as a hypothetical if that kind of thinking was used to justify atrocities he would yell ""OF COOOOOURSE"" with 0 self reflection","@ScubaMySteve If you ask Cenk as a hypothetical if that kind of thinking was used to justify atrocities she would yell ""OF COOOOOURSE"" with 0 self reflection",False,True,False,True,False,False,,1,INVARIANT,majority not-sexist; label stays not-sexist under swap,False,,
